NUTS315CD,NUTS315NM,NUTS318CD,NUTS318NM,Column4,Column5,Column6,Column7,Column8,Column9,FID
UKJ43,Kent Thames Gateway,UKJ43,Kent Thames Gateway,,,,,,,117
UKJ44,East Kent,UKJ44,East Kent,,,,,,,118
UKJ45,Mid Kent,UKJ45,Mid Kent,,,,,,,119
UKJ46,West Kent,UKJ46,West Kent,,,,,,,120
UKK11,"Bristol, City of",UKK11,"Bristol, City of",,,,,,,121
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,,,,122
UKK13,Gloucestershire,UKK13,Gloucestershire,,,,,,,123
UKK14,Swindon,UKK14,Swindon,,,,,,,124
UKK15,Wiltshire,UKK15,Wiltshire,,,,,,,125
UKC12,South Teesside,UKC12,South Teesside,,,,,,,126
UKC13,Darlington,UKC13,Darlington,,,,,,,127
UKC14,Durham CC,UKC14,Durham CC,,,,,,,128
UKC21,Northumberland,UKC21,Northumberland,,,,,,,129
UKC22,Tyneside,UKC22,Tyneside,,,,,,,130
UKC23,Sunderland,UKC23,Sunderland,,,,,,,131
UKD11,West Cumbria,UKD11,West Cumbria,,,,,,,132
UKD12,East Cumbria,UKD12,East Cumbria,,,,,,,133
UKD33,Manchester,UKD33,Manchester,,,,,,,134
UKD34,Greater Manchester South West,UKD34,Greater Manchester South West,,,,,,,135
UKD35,Greater Manchester South East,UKD35,Greater Manchester South East,,,,,,,136
UKD36,Greater Manchester North West,UKD36,Greater Manchester North West,,,,,,,137
UKD37,Greater Manchester North East,UKD37,Greater Manchester North East,,,,,,,138
UKD41,Blackburn with Darwen,UKD41,Blackburn with Darwen,,,,,,,139
UKD42,Blackpool,UKD42,Blackpool,,,,,,,140
UKD44,Lancaster and Wyre,UKD44,Lancaster and Wyre,,,,,,,141
UKD45,Mid Lancashire,UKD45,Mid Lancashire,,,,,,,142
UKD46,East Lancashire,UKD46,East Lancashire,,,,,,,143
UKD47,Chorley and West Lancashire,UKD47,Chorley and West Lancashire,,,,,,,144
UKD61,Warrington,UKD61,Warrington,,,,,,,145
UKD62,Cheshire East,UKD62,Cheshire East,,,,,,,146
UKD63,Cheshire West and Chester,UKD63,Cheshire West and Chester,,,,,,,147
UKD71,East Merseyside,UKD71,East Merseyside,,,,,,,148
UKD72,Liverpool,UKD72,Liverpool,,,,,,,149
UKD73,Sefton,UKD73,Sefton,,,,,,,150
UKD74,Wirral,UKD74,Wirral,,,,,,,151
UKE11,"Kingston upon Hull, City of",UKE11,"Kingston upon Hull, City of",,,,,,,152
UKE12,East Riding of Yorkshire,UKE12,East Riding of Yorkshire,,,,,,,153
UKE13,North and North East Lincolnshire,UKE13,North and North East Lincolnshire,,,,,,,154
UKE21,York,UKE21,York,,,,,,,155
UKE22,North Yorkshire CC,UKE22,North Yorkshire CC,,,,,,,156
UKE31,"Barnsley, Doncaster and Rotherham",UKE31,"Barnsley, Doncaster and Rotherham",,,,,,,157
UKE32,Sheffield,UKE32,Sheffield,,,,,,,158
UKE41,Bradford,UKE41,Bradford,,,,,,,159
UKE42,Leeds,UKE42,Leeds,,,,,,,160
UKE44,Calderdale and Kirklees,UKE44,Calderdale and Kirklees,,,,,,,161
UKE45,Wakefield,UKE45,Wakefield,,,,,,,162
UKF11,Derby,UKF11,Derby,,,,,,,163
UKF12,East Derbyshire,UKF12,East Derbyshire,,,,,,,164
