postcode_district,population
L32,"20,447"
L33,"16,939"
L34,"12,015"
L35,"31,064"
L36,"39,929"
L37,"23,542"
L38,"2,579"
L39,"28,676"
L4,"40,268"
L40,"18,033"
L5,"12,448"
L6,"23,727"
L7,"18,006"
L8,"32,577"
L9,"32,637"
LA1,"52,049"
LA10,"4,002"
LA11,"9,673"
LA12,"20,194"
LA13,"18,812"
LA14,"38,513"
LA15,"7,827"
LA16,"3,462"
LA17,"1,174"
LA18,"9,070"
LA19,972
LA2,"22,304"
LA20,"1,159"
LA21,928
LA22,"4,943"
LA23,"9,137"
LA3,"24,447"
LA4,"26,392"
LA5,"16,416"
LA6,"12,506"
LA7,"5,317"
LA8,"9,008"
LA9,"30,399"
LE1,"13,308"
LE10,"47,474"
LE11,"60,367"
LE12,"62,122"
LE13,"27,158"
LE14,"17,321"
LE15,"32,325"
LE16,"34,975"
LE17,"20,648"
LE18,"32,861"
LE19,"14,762"
LE2,"119,026"
LE3,"100,913"
LE4,"97,057"
LE5,"85,435"
LE6,"12,073"
LE65,"14,025"
LE67,"58,904"
LE7,"44,781"
LE8,"35,013"
LE9,"55,247"
LN1,"28,362"
LN10,"5,985"
LN11,"28,222"
LN12,"13,221"
LN13,"7,766"
LN2,"38,637"
LN3,"8,895"
LN4,"38,658"
LN5,"32,187"
LN6,"58,349"
LN7,"6,070"
LN8,"17,283"
LN9,"9,675"
LS1,"5,759"
LS10,"35,534"
LS11,"34,795"
LS12,"40,949"
LS13,"35,021"
LS14,"34,484"
LS15,"34,991"
LS16,"36,457"
LS17,"43,426"
LS18,"18,895"
LS19,"19,835"
LS2,"10,120"
LS20,"12,663"
LS21,"17,729"
LS22,"15,791"
LS23,"9,207"
LS24,"11,849"
LS25,"39,917"
LS26,"30,021"
LS27,"35,695"
LS28,"37,896"
LS29,"31,456"
LS3,"2,876"
LS4,"9,072"
LS5,"8,507"
LS6,"48,277"
LS7,"28,266"
LS8,"48,286"
LS9,"36,406"
LU1,"43,355"
LU2,"56,890"
LU3,"60,550"
LU4,"52,069"
LU5,"38,285"
LU6,"30,833"
LU7,"53,968"
M1,"12,221"
M11,"20,443"
M12,"16,176"
M13,"23,961"
M14,"52,820"
M15,"22,310"
M16,"35,721"
M18,"23,267"
M19,"34,586"
M20,"48,595"
M21,"29,583"
M22,"42,371"
M23,"30,949"
M24,"46,748"
M25,"31,475"
M26,"34,813"
M27,"42,069"
M28,"39,425"
M29,"22,896"
M3,"11,709"
M30,"35,983"
M31,"8,395"
M32,"28,586"
M33,"60,474"
M34,"46,290"
M35,"20,680"
M38,"12,958"
M4,"10,740"
M40,"40,857"
M41,"41,481"
M43,"23,255"
M44,"19,689"
M45,"22,722"
M46,"22,203"
M5,"15,729"
M50,"3,449"
M6,"31,974"
M60,"1,437"
M7,"27,746"
M8,"31,098"
M9,"39,518"
ME1,"31,192"
ME10,"47,582"
ME11,"3,407"
ME12,"36,884"
ME13,"27,959"
ME14,"31,714"
ME15,"47,659"
ME16,"30,046"
ME17,"22,389"
